t,n_alive,new_deaths,cum_deaths,pregnancy.pregnancies,pregnancy.births,pregnancy.cbr,deaths.new,deaths.cumulative,deaths.cmr,hiv.n_on_art,hiv.n_susceptible,hiv.n_infected,hiv.prevalence,hiv.new_infections,hiv.cum_infections,hiv.new_deaths,hiv.Agent10_cd4,hiv.Agent10_V_level,hiv.Agent11_cd4,hiv.Agent11_V_level
1990.7315068493044,10123727.2857,0.0,105798.58940000001,998.0999,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9166549.4816,957177.8041000001,0.0945479641131815,0.0,996103.7002000001,0,500,0,100,0
1990.7342465753318,10123727.2857,0.0,105798.58940000001,0.0,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9166549.4816,957177.8041000001,0.0945479641131815,0.0,996103.7002000001,0,500,0,100,0
1990.7369863013591,10122729.185800001,998.0999,105798.58940000001,0.0,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9166549.4816,956179.7042,0.09445868664957602,0.0,996103.7002000001,1,500,0,100,0
1990.7397260273865,10122729.185800001,0.0,106796.6893,0.0,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9166549.4816,956179.7042,0.09445868664957602,0.0,996103.7002000001,0,500,0,100,0
1990.7424657534139,10125723.4855,0.0,106796.6893,2994.2997,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9169543.7813,956179.7042,0.09443075406604239,0.0,996103.7002000001,0,500,0,100,0
1990.7452054794412,10127719.6853,0.0,106796.6893,1996.1998,0.0,0.0,0.0,74857.49250000005,0.0,0.0,9171539.9811,956179.7042,0.09441214151966099,0.0,996103.7002000001,0,500,0,100,0
1990.7479452054686,10127719.6853,998.0999,106796.6893,998.0999,998.0999,0.09855129594954175,998.0999,75855.59240000005,9.855129594954174e-05,0.0,9171539.9811,956179.7042,0.09441214151966099,998.0999,997101.8001,0,500,0,100,0
1990.750684931496,10128717.7852,0.0,107794.7892,998.0999,0.0,0.0,0.0,75855.59240000005,0.0,0.0,9172538.081,956179.7042,0.094402837997635,0.0,997101.8001,0,500,0,100,0
1990.7534246575233,10131712.084900001,998.0999,107794.7892,3992.3996,998.0999,0.09851246182642104,998.0999,76853.69230000005,9.851246182642104e-05,0.0,9175532.3807,956179.7042,0.09437493842971136,0.0,997101.8001,0,500,0,100,0
1990.7561643835506,10132710.1848,0.0,108792.8891,998.0999,0.0,0.0,0.0,76853.69230000005,0.0,0.0,9175532.3807,957177.8041000001,0.09446414499605989,998.0999,998099.9,0,500,0,100,0
1990.758904109578,10132710.1848,0.0,108792.8891,0.0,998.0999,0.09850275807722615,0.0,76853.69230000005,0.0,0.0,9175532.3807,957177.8041000001,0.09446414499605989,0.0,998099.9,0,500,0,100,0
1990.7616438356054,10132710.1848,998.0999,108792.8891,998.0999,0.0,0.0,0.0,76853.69230000005,0.0,0.0,9176530.480600001,956179.7042,0.09436564223798266,0.0,998099.9,1,500,0,100,0
1990.7643835616327,10133708.2847,0.0,109790.989,998.0999,0.0,0.0,0.0,76853.69230000005,0.0,0.0,9177528.580500001,956179.7042,0.09435634787747464,0.0,998099.9,0,500,0,100,0
1990.76712328766,10133708.2847,0.0,109790.989,0.0,0.0,0.0,0.0,76853.69230000005,0.0,0.0,9177528.580500001,956179.7042,0.09435634787747464,0.0,998099.9,0,500,0,100,0
1990.7698630136874,10136702.5844,998.0999,109790.989,3992.3996,0.0,0.0,0.0,76853.69230000005,0.0,0.0,9181520.9801,955181.6043,0.09423001181567546,0.0,998099.9,1,500,0,100,0
1990.7726027397148,10137700.6843,0.0,110789.0889,998.0999,1996.1998,0.19690853598503497,0.0,76853.69230000005,0.0,0.0,9182519.08,955181.6043,0.09422073446883922,0.0,998099.9,0,500,0,100,0
1990.7753424657421,10137700.6843,0.0,110789.0889,0.0,998.0999,0.09845426799251748,0.0,76853.69230000005,0.0,0.0,9182519.08,955181.6043,0.09422073446883922,0.0,998099.9,0,500,0,100,0
1990.7780821917695,10139696.884100001,0.0,110789.0889,1996.1998,998.0999,0.09843488532335859,0.0,76853.69230000005,0.0,0.0,9184515.2798,955181.6043,0.09420218525445417,0.0,998099.9,0,500,0,100,0
1990.7808219177969,10139696.884100001,0.0,110789.0889,0.0,998.0999,0.09843488532335859,0.0,76853.69230000005,0.0,0.0,9184515.2798,955181.6043,0.09420218525445417,0.0,998099.9,0,500,0,100,0
1990.7835616438242,10140694.984000001,0.0,110789.0889,998.0999,0.0,0.0,0.0,76853.69230000005,0.0,0.0,9185513.379700001,955181.6043,0.09419291338582678,0.0,998099.9,0,500,0,100,0
1990.7863013698516,10140694.984000001,0.0,110789.0889,0.0,998.0999,0.09842519685039369,0.0,76853.69230000005,0.0,0.0,9185513.379700001,955181.6043,0.09419291338582678,0.0,998099.9,0,500,0,100,0
1990.789041095879,10141693.0839,998.0999,110789.0889,1996.1998,2994.2997,0.2952465308532624,0.0,76853.69230000005,0.0,0.0,9187509.5795,954183.5044000001,0.09408522783190632,0.0,998099.9,1,500,0,100,0
1990.7917808219063,10141693.0839,0.0,111787.1888,0.0,1996.1998,0.19683102056884164,0.0,76853.69230000005,0.0,0.0,9187509.5795,954183.5044000001,0.09408522783190632,0.0,998099.9,0,500,0,100,0
1990.7945205479336,10143689.2837,0.0,111787.1888,1996.1998,0.0,0.0,0.0,76853.69230000005,0.0,0.0,9189505.7793,954183.5044000001,0.09406671258486668,0.0,998099.9,0,500,0,100,0
1990.797260273961,10143689.2837,998.0999,111787.1888,998.0999,0.0,0.0,998.0999,77851.79220000005,9.839614287119945e-05,0.0,9189505.7793,954183.5044000001,0.09406671258486668,0.0,998099.9,0,500,0,100,0
